Sector,Institution,Discipline Area,Subject Field,Level of Degree or Certificate,Awards in FY 2002,Awards in FY 2003,Awards in FY 2004,Awards in FY 2005,Awards in FY 2006,Awards in FY 2007,Awards in FY 2008,Awards in FY 2009,Awards in FY 2010,Awards in FY 2011
Community Colleges,Clark State Community College,Natural Science & Mathematics,Geology and Hydrology,Associate Degree,2,3,0,0,0,0,0,0,0,0
Community Colleges,Clark State Community College,Natural Science & Mathematics,Math,Associate Degree,1,0,1,0,0,0,0,0,0,0
Community Colleges,Clark State Community College,Natural Science & Mathematics,Math,One to less than Two-Year Award,0,2,0,0,0,0,0,0,0,0
Community Colleges,Clark State Community College,Services,Protective Services,Associate Degree,21,16,22,28,16,21,14,19,21,32
Community Colleges,Clark State Community College,Services,Sports and Recreation,Associate Degree,4,0,0,0,0,0,0,0,0,0
Community Colleges,Clark State Community College,Social & Behavioral Sciences,Family and Consumer Studies,Associate Degree,13,12,0,0,0,0,0,0,0,0
Community Colleges,Clark State Community College,Social & Behavioral Sciences,Social Work,Associate Degree,23,19,12,24,19,21,20,11,22,15
Community Colleges,Clark State Community College,Trades and Repair Technicians,Communications Technology,Associate Degree,4,8,3,0,0,0,0,0,0,0
Community Colleges,Columbus State Community College,Arts & Humanities,"Foreign Languages: Slavic, Baltic and Albanian",Associate Degree,25,23,0,0,0,0,0,0,0,0
Community Colleges,Columbus State Community College,Arts & Humanities,Liberal and General Studies,Associate Degree,296,335,357,416,439,340,395,460,525,640
Community Colleges,Columbus State Community College,Arts & Humanities,Personal Enrichment,One to less than Two-Year Award,0,0,0,0,0,0,0,0,20,28
Community Colleges,Columbus State Community College,Arts & Humanities,"Photography, Video and Cinema",Associate Degree,0,0,0,0,0,0,0,3,19,17
Community Colleges,Columbus State Community College,Arts & Humanities,"Photography, Video and Cinema",Less than One-Year Award,0,0,0,0,1,0,0,0,0,0
Community Colleges,Columbus State Community College,Arts & Humanities,"Photography, Video and Cinema",One to less than Two-Year Award,0,0,0,0,0,8,0,3,0,7
Community Colleges,Columbus State Community College,Arts & Humanities,Public Relations & Advertising,Associate Degree,26,18,26,0,0,0,0,0,0,0
Community Colleges,Columbus State Community College,Arts & Humanities,Sign Language,Associate Degree,0,0,26,28,23,18,25,21,10,21
Community Colleges,Columbus State Community College,Arts & Humanities,Sign Language,One to less than Two-Year Award,0,0,0,0,46,37,40,42,47,40
Community Colleges,Columbus State Community College,Business,Accounting,Associate Degree,19,32,26,26,36,27,29,29,29,41
Community Colleges,Columbus State Community College,Business,Accounting,One to less than Two-Year Award,0,0,0,1,0,10,16,9,24,43
Community Colleges,Columbus State Community College,Business,Administrative and Secretarial,Associate Degree,8,9,6,10,13,25,18,10,11,18
Community Colleges,Columbus State Community College,Business,Administrative and Secretarial,One to less than Two-Year Award,0,0,0,0,0,0,0,0,3,11
Community Colleges,Columbus State Community College,Business,"Business, Other",Associate Degree,43,12,13,13,11,15,21,16,13,12
Community Colleges,Columbus State Community College,Business,"Business, Other",One to less than Two-Year Award,0,0,0,0,0,0,0,1,1,4
Community Colleges,Columbus State Community College,Business,Computer and Quantitative Business Fields,Associate Degree,3,3,0,0,0,0,0,0,0,0
Community Colleges,Columbus State Community College,Business,Finance,Associate Degree,26,24,21,30,20,16,20,18,18,27
Community Colleges,Columbus State Community College,Business,"General Sales, Merchandising and Related Marketing Operations",Associate Degree,0,0,3,0,0,0,0,0,0,0
Community Colleges,Columbus State Community College,Business,"General Sales, Merchandising and Related Marketing Operations",Less than One-Year Award,0,0,0,0,24,20,18,19,0,0
Community Colleges,Columbus State Community College,Business,Human Resources Management and Labor Studies,Associate Degree,7,14,9,2,5,6,5,3,3,8
Community Colleges,Columbus State Community College,Business,Human Resources Management and Labor Studies,One to less than Two-Year Award,0,0,0,0,1,2,18,13,35,13
Community Colleges,Columbus State Community College,Business,Logistics,Associate Degree,1,7,5,4,3,2,5,5,4,9
Community Colleges,Columbus State Community College,Business,Logistics,Less than One-Year Award,0,0,0,0,5,0,0,0,0,0
Community Colleges,Columbus State Community College,Business,Logistics,One to less than Two-Year Award,0,0,0,0,0,7,5,6,7,19
Community Colleges,Columbus State Community College,Business,Management,Associate Degree,69,96,90,95,111,94,115,138,124,134
Community Colleges,Columbus State Community College,Business,Management,Less than One-Year Award,0,0,0,0,1,0,0,0,0,3
Community Colleges,Columbus State Community College,Business,Management,One to less than Two-Year Award,0,0,0,0,13,1,11,6,12,13
Community Colleges,Columbus State Community College,Business,Marketing,Associate Degree,6,12,11,16,11,6,16,13,7,11
Community Colleges,Columbus State Community College,Business,Marketing,One to less than Two-Year Award,0,0,0,0,0,0,0,0,2,1
Community Colleges,Columbus State Community College,Business,Service Business,Associate Degree,25,21,26,36,38,42,47,40,54,57
Community Colleges,Columbus State Community College,Business,Service Business,Less than One-Year Award,0,0,0,0,8,0,0,0,0,0
Community Colleges,Columbus State Community College,Business,Service Business,One to less than Two-Year Award,0,0,0,0,0,10,4,5,6,19
Community Colleges,Columbus State Community College,Engineering,Aeronautical/Aerospace Technology,Associate Degree,9,9,9,11,5,3,6,9,13,11
Community Colleges,Columbus State Community College,Engineering,Architecture,Associate Degree,17,19,20,0,0,0,0,0,0,0
Community Colleges,Columbus State Community College,Engineering,Automotive Engineering Technology,Associate Degree,7,19,11,30,23,18,32,24,20,34
Community Colleges,Columbus State Community College,Engineering,Automotive Engineering Technology,Less than One-Year Award,0,0,0,0,79,0,0,0,0,0
Community Colleges,Columbus State Community College,Engineering,Automotive Engineering Technology,One to less than Two-Year Award,0,0,0,0,0,63,68,72,67,55
Community Colleges,Columbus State Community College,Engineering,CAD/CADD Drafting,One to less than Two-Year Award,0,0,0,0,0,0,0,1,2,7
Community Colleges,Columbus State Community College,Engineering,"Construction, Civil Engineering, Architecture Technology",Associate Degree,46,46,44,49,57,53,80,73,52,66
Community Colleges,Columbus State Community College,Engineering,"Construction, Civil Engineering, Architecture Technology",Less than One-Year Award,0,0,0,0,18,0,0,0,0,0
Community Colleges,Columbus State Community College,Engineering,"Construction, Civil Engineering, Architecture Technology",One to less than Two-Year Award,0,0,0,0,3,24,29,16,10,7
Community Colleges,Columbus State Community College,Engineering,Electrical Engineering Technology,Associate Degree,26,27,26,28,29,16,28,32,41,31
Community Colleges,Columbus State Community College,Engineering,Electrical Engineering Technology,Less than One-Year Award,0,0,0,0,0,0,0,0,2,11
Community Colleges,Columbus State Community College,Engineering,Electrical Engineering Technology,One to less than Two-Year Award,0,0,0,0,0,0,14,5,30,29
Community Colleges,Columbus State Community College,Engineering,Environmental and Hazardous Materials Technology,Associate Degree,6,5,5,0,0,0,0,0,0,0
Community Colleges,Columbus State Community College,Engineering,Industrial and Manufacturing Technology,One to less than Two-Year Award,0,0,0,0,0,0,3,3,5,5
Community Colleges,Columbus State Community College,Engineering,Mechanical Engineering Technology,Associate Degree,9,13,13,11,11,3,11,10,14,21
Community Colleges,Columbus State Community College,Engineering,Mechanical Engineering Technology,Less than One-Year Award,0,0,0,0,0,0,0,0,0,1
Community Colleges,Columbus State Community College,Engineering,Other Engineering Technology,Associate Degree,20,46,55,48,44,32,33,33,36,32
Community Colleges,Columbus State Community College,Engineering,Other Engineering Technology,Less than One-Year Award,0,0,0,0,1,0,0,0,0,18
Community Colleges,Columbus State Community College,Engineering,Other Engineering Technology,One to less than Two-Year Award,0,0,0,0,17,39,34,31,39,51
Community Colleges,Columbus State Community College,Engineering,Survey Technology,Associate Degree,0,0,0,0,0,0,1,0,0,4
Community Colleges,Columbus State Community College,Engineering,Survey Technology,Less than One-Year Award,0,0,0,1,1,0,0,0,0,0
Community Colleges,Columbus State Community College,Engineering,Survey Technology,One to less than Two-Year Award,0,0,0,0,0,4,4,1,1,3
Community Colleges,Columbus State Community College,Health,"Dentistry, Orthodontics, Periodontics",Associate Degree,13,19,18,16,16,17,15,18,15,18
Community Colleges,Columbus State Community College,Health,"Dentistry, Orthodontics, Periodontics",One to less than Two-Year Award,0,0,0,0,8,14,11,10,16,5
Community Colleges,Columbus State Community College,Health,Dietetics & Nutrition,Associate Degree,19,10,16,0,0,0,0,0,0,0
Community Colleges,Columbus State Community College,Health,Emergency Medical Care,Associate Degree,21,20,27,16,20,21,21,30,28,30
Community Colleges,Columbus State Community College,Health,Emergency Medical Care,One to less than Two-Year Award,0,0,0,0,39,46,37,45,31,18
Community Colleges,Columbus State Community College,Health,Health Administration and Management,Associate Degree,0,0,0,7,12,11,11,11,13,19
Community Colleges,Columbus State Community College,Health,Health Administration and Management,Less than One-Year Award,0,0,0,0,0,0,0,0,0,95
Community Colleges,Columbus State Community College,Health,Health Administration and Management,One to less than Two-Year Award,0,0,0,0,2,3,7,10,4,7
Community Colleges,Columbus State Community College,Health,Health Aides and Assisting,Associate Degree,15,18,11,8,2,5,6,5,9,3
Community Colleges,Columbus State Community College,Health,Health Aides and Assisting,One to less than Two-Year Award,0,0,0,0,6,20,8,18,12,25
Community Colleges,Columbus State Community College,Health,Health Information and Insurance,Associate Degree,15,4,6,0,0,0,0,0,0,0
Community Colleges,Columbus State Community College,Health,Health Information and Insurance,One to less than Two-Year Award,0,0,0,0,9,2,9,4,0,0
Community Colleges,Columbus State Community College,Health,Laboratory Technology,Associate Degree,17,12,22,15,22,15,26,10,21,16
Community Colleges,Columbus State Community College,Health,Laboratory Technology,Less than One-Year Award,0,0,0,0,0,0,0,0,0,7
Community Colleges,Columbus State Community College,Health,Laboratory Technology,One to less than Two-Year Award,0,0,0,0,0,0,5,8,12,8
Community Colleges,Columbus State Community College,Health,Licensed Practical Nurse,One to less than Two-Year Award,0,0,0,0,0,82,34,79,68,90
Community Colleges,Columbus State Community College,Health,Mental Health Services and Therapy,Associate Degree,27,19,28,24,31,35,44,40,47,62
Community Colleges,Columbus State Community College,Health,Mental Health Services and Therapy,One to less than Two-Year Award,0,0,0,0,0,0,3,13,2,3
Community Colleges,Columbus State Community College,Health,Nuclear Medical Technologist,Associate Degree,0,0,0,11,13,14,13,11,14,10
Community Colleges,Columbus State Community College,Health,Other Health,Less than One-Year Award,0,0,0,0,0,0,0,0,21,16
Community Colleges,Columbus State Community College,Health,Physical Therapy,One to less than Two-Year Award,0,0,0,0,6,2,2,1,4,7
Community Colleges,Columbus State Community College,Health,Radiology and Sonography,Associate Degree,21,18,24,19,24,23,23,19,19,17
Community Colleges,Columbus State Community College,Health,Registered Nurse,Associate Degree,76,97,98,128,153,170,167,172,156,186
Community Colleges,Columbus State Community College,Health,Rehabilitation Services,Associate Degree,10,17,26,0,0,0,0,0,0,0
Community Colleges,Columbus State Community College,Health,Respiratory Therapy,Associate Degree,10,10,11,11,11,17,21,15,18,14
Community Colleges,Columbus State Community College,Health,Surgical Technologist,Associate Degree,10,7,13,3,2,9,9,10,19,18
Community Colleges,Columbus State Community College,Health,Surgical Technologist,One to less than Two-Year Award,0,0,0,0,17,17,18,19,18,22
Community Colleges,Columbus State Community College,Health,Veterinary Medicine,Associate Degree,49,61,75,53,76,70,67,75,62,77
Community Colleges,Columbus State Community College,Law,Legal Administrative,Associate Degree,0,0,44,46,31,50,46,49,53,50
Community Colleges,Columbus State Community College,Law,Legal Administrative,One to less than Two-Year Award,0,0,0,0,9,11,13,8,10,18
Community Colleges,Columbus State Community College,Natural Science & Mathematics,Computer Science,Associate Degree,155,156,86,62,38,50,36,35,37,42
Community Colleges,Columbus State Community College,Natural Science & Mathematics,Computer Science,Less than One-Year Award,0,0,0,0,15,0,0,0,0,0
Community Colleges,Columbus State Community College,Natural Science & Mathematics,Computer Science,One to less than Two-Year Award,0,0,0,0,5,18,25,12,9,24
Community Colleges,Columbus State Community College,Natural Science & Mathematics,Geology and Hydrology,Associate Degree,2,2,3,0,0,0,0,0,0,0
Community Colleges,Columbus State Community College,Services,Culinary Arts,Associate Degree,18,12,20,15,22,14,14,20,24,20
Community Colleges,Columbus State Community College,Services,Culinary Arts,One to less than Two-Year Award,0,0,0,0,0,0,3,16,19,18
Community Colleges,Columbus State Community College,Services,Protective Services,Associate Degree,48,49,39,38,48,42,27,48,41,46
Community Colleges,Columbus State Community College,Services,Sports and Recreation,Associate Degree,49,49,57,45,71,56,68,61,85,57
Community Colleges,Columbus State Community College,Services,Sports and Recreation,One to less than Two-Year Award,0,0,0,0,4,44,49,34,36,29
Community Colleges,Columbus State Community College,Social & Behavioral Sciences,Family and Consumer Studies,Associate Degree,33,54,63,61,68,71,61,60,68,60
Community Colleges,Columbus State Community College,Social & Behavioral Sciences,Family and Consumer Studies,Less than One-Year Award,0,0,0,0,190,146,109,111,95,137
Community Colleges,Columbus State Community College,Social & Behavioral Sciences,Family and Consumer Studies,One to less than Two-Year Award,0,0,0,0,1,3,1,1,3,0
